TAG DO LAYOUT;CLIENTE;OBRA;LOCALIZACAO;ESPECIALIDADE;FASE;DATA 1ª EMISSÃO;PROJETOU;NUMERO DE DESENHO;TIPO;ELEMENTO;TITULO;REVISÃO A;DATA REVISAO A;DESCRIÇÃO REVISÃO A;REVISÃO B;DATA REVISAO B;DESCRIÇÃO REVISÃO B;REVISÃO C;DATA REVISAO C;DESCRIÇÃO REVISÃO C;REVISÃO D;DATA REVISAO D;DESCRIÇÃO REVISÃO D;REVISÃO E;DATA REVISAO E;DESCRIÇÃO REVISÃO E;NOME DWG;ID_CAD
669-EST-FUN05-PE-E00-D;ROCKBUILDING;REABILITAÇÃO;LISBOA;ESTRUTURAS;EXECUÇÃO;OUTUBRO 2025;DAVID GAMA;FUN05;BETÃO ARMADO;FUNDAÇÕES;PISO 5;A;25-11-2025;GERAL;B;28-11-2025;GERAL;C;30-11-2025;ger;D;30-11-2025;FUN;;;;FUN;1A88
669-EST-FUN04-PE-E00-D;ROCKBUILDING;REABILITAÇÃO;LISBOA;ESTRUTURAS;EXECUÇÃO;OUTUBRO 2025;DAVID GAMA;FUN04;BETÃO ARMADO;FUNDAÇÕES;PISO 4;A;25-11-2025;GERAL;B;28-11-2025;GERAL;C;30-11-2025;ger;D;30-11-2025;FUN;;;;FUN;1A50
669-EST-FUN03-PE-E00-E;ROCKBUILDING;REABILITAÇÃO;LISBOA;ESTRUTURAS;EXECUÇÃO;OUTUBRO 2025;DAVID GAMA;FUN03;BETÃO ARMADO;FUNDAÇÕES;PISO 3;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;30-11-2025;PRE-ESFORÇO;D;30-11-2025;ger;E;30-11-2025;FUN;FUN;1A18
669-EST-FUN02-PE-E00-D;ROCKBUILDING;REABILITAÇÃO;LISBOA;ESTRUTURAS;EXECUÇÃO;OUTUBRO 2025;DAVID GAMA;FUN02;BETÃO ARMADO;FUNDAÇÕES;PISO 2;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;30-11-2025;ger;D;30-11-2025;FUN;;;;FUN;19E0
669-EST-FUN01-PE-E00-E;ROCKBUILDING;REABILITAÇÃO;LISBOA;ESTRUTURAS;EXECUÇÃO;OUTUBRO 2025;DAVID GAMA;FUN01;BETÃO ARMADO;FUNDAÇÕES;PISO 1;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;28-11-2025;nova;D;30-11-2025;ger;E;30-11-2025;FUN;FUN;19A8
