PROJ_NUM;PROJ_NOME;CLIENTE;OBRA;LOCALIZACAO;ESPECIALIDADE;PROJETOU;FASE;FASE_PFIX;EMISSAO;DATA;PFIX;LAYOUT;DES_NUM;TIPO;ELEMENTO;TITULO;REV_A;DATA_A;DESC_A;REV_B;DATA_B;DESC_B;REV_C;DATA_C;DESC_C;REV_D;DATA_D;DESC_D;REV_E;DATA_E;DESC_E;DWG_SOURCE;ID_CAD
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-001-E00-PB-E;001;DIMENSIONAMENTO;GEOMETRIA;PISO 1;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;28-11-2025;nova;D;03-12-2025;NOVA V4;E;03-12-2025;NOVA REVISAO ARQ;Legenda v4;19A8;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-002-E00-PB-D;002;DIMENSIONAMENTO;GEOMETRIA;PISO 2;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;03-12-2025;NOVA V4;D;03-12-2025;NOVA REVISAO ARQ;;;;Legenda v4;19E0;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-003-E00-PB;003;BETAO ARMADO;LAJES;PISO 01;;;;;;;;;;;;;;;;Legenda v4;4122;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-004-E00-PB-A;004;DIMENSIONAMENTO;GEO;PISO INT;A;03-12-2025;NOVA REVISAO ARQ;;;;;;;;;;;;;Legenda v4;3F65;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-005-E00-PB-D;005;BETAO ARMADO;VIGAS;PISO 4;A;28-11-2025;GERAL;B;28-11-2025;GERAL;C;03-12-2025;NOVA V4;D;03-12-2025;NOVA REVISAO ARQ;;;;Legenda v4;1A18;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-006-E00-PB-D;006;PRE-ESFORCO;NUCLEOS;PISO 4;A;25-11-2025;GERAL;B;28-11-2025;GERAL;C;03-12-2025;NOVA V4;D;03-12-2025;NOVA REVISAO ARQ;;;;Legenda v4;1A50;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-007-E00-PB-A;007;BETAO ARMADO;PILARES;QUADRO;A;03-12-2025;NOVA REVISAO ARQ;;;;;;;;;;;;;Legenda v4;407F;
717;ARCAYA;BOND;NOVA;VILAMOURA;ESTRUTURAS;DAVID GAMA;LICENCIEAMENTO;PB;E00;SETEMBRO 2025;;717-EST-008-E00-PB-D;008;PRE-ESFORCO;NUCLEOS;PISO 5;A;25-11-2025;GERAL;B;28-11-2025;GERAL;C;03-12-2025;NOVA V4;D;03-12-2025;NOVA REVISAO ARQ;;;;Legenda v4;1A88;
